Province_State,Country_Region,Lat,Long,Month,TrendlineCoef,Cluster
Serbia,Serbia,44.0165,21.0059,4,291.8017883300781,1
Bangladesh,Bangladesh,23.685,90.3563,4,259.9032287597656,1
Dominican Republic,Dominican Republic,18.7357,-70.1627,4,207.4278106689453,1
Philippines,Philippines,12.879721,121.774017,4,205.59376525878906,1
Denmark,Denmark,56.2639,9.5018,4,198.67808532714844,1
Panama,Panama,8.538,-80.7821,4,185.23092651367188,1
Colombia,Colombia,4.5709,-74.2973,4,181.83270263671875,1
Austria,Austria,47.5162,14.5501,4,168.24583435058594,1
Egypt,Egypt,26.820553,30.802498,4,160.4364776611328,1
Alberta,Canada,53.9333,-116.5765,4,156.51034545898438,1
Morocco,Morocco,31.7917,-7.0926,4,141.69322204589844,1
South Africa,South Africa,-30.5595,22.9375,4,141.60000610351562,1
Czechia,Czechia,49.8175,15.473,4,134.08743286132812,1
Moldova,Moldova,47.4116,28.3699,4,119.73593139648438,1
Kuwait,Kuwait,29.31166,47.481766,4,118.92769622802734,1
US,US,40.0,-100.0,5,22384.8203125,0
Brazil,Brazil,-14.235,-51.9253,5,14004.9755859375,2
Russia,Russia,61.52401,105.318756,5,9745.419921875,2
India,India,20.593684,78.96288,5,4987.16796875,3
Peru,Peru,-9.19,-75.0152,5,3910.464599609375,3
Chile,Chile,-35.6751,-71.543,5,3356.72021484375,3
United Kingdom,United Kingdom,55.3781,-3.436,5,2501.7841796875,3
Mexico,Mexico,23.6345,-102.5528,5,2336.704345703125,3
Saudi Arabia,Saudi Arabia,23.885942,45.079162,5,2168.4833984375,3
Iran,Iran,32.427908,53.688046,5,1897.6875,3
Pakistan,Pakistan,30.3753,69.3451,5,1738.96533203125,3
Qatar,Qatar,25.3548,51.1839,5,1450.848388671875,1
Turkey,Turkey,38.9637,35.2433,5,1372.28271484375,1
Bangladesh,Bangladesh,23.685,90.3563,5,1276.1697998046875,1
Belarus,Belarus,53.7098,27.9534,5,931.4902954101562,1
South Africa,South Africa,-30.5595,22.9375,5,859.8355102539062,1
Italy,Italy,41.87194,12.56738,5,822.3903198242188,1
Kuwait,Kuwait,29.31166,47.481766,5,804.2298583984375,1
Spain,Spain,40.463667,-3.74922,5,796.0032348632812,1
United Arab Emirates,United Arab Emirates,23.424076,53.847818,5,749.2899169921875,1
Colombia,Colombia,4.5709,-74.2973,5,720.8358764648438,1
Germany,Germany,51.165691,10.451526,5,692.4169311523438,1
Quebec,Canada,52.9399,-73.5491,5,687.0314331054688,1
Singapore,Singapore,1.2833,103.8333,5,602.7822875976562,1
Egypt,Egypt,26.820553,30.802498,5,586.9814453125,1
Sweden,Sweden,60.128161,18.643501,5,562.6322631835938,1
France,France,46.2276,2.2137,5,562.2931518554688,1
Indonesia,Indonesia,-0.7893,113.9213,5,542.0125122070312,1
Afghanistan,Afghanistan,33.93911,67.709953,5,435.6725769042969,1
Ukraine,Ukraine,48.3794,31.1656,5,420.447998046875,1
Argentina,Argentina,-38.4161,-63.6167,5,404.15240478515625,1
Ecuador,Ecuador,-1.8312,-78.1834,5,381.91693115234375,1
Poland,Poland,51.9194,19.1451,5,364.8511962890625,1
Ontario,Canada,51.2538,-85.3232,5,349.1032409667969,1
Dominican Republic,Dominican Republic,18.7357,-70.1627,5,329.0475769042969,1
Belgium,Belgium,50.8333,4.469936,5,313.964111328125,1
Oman,Oman,21.512583,55.923255,5,278.6116943359375,1
Bahrain,Bahrain,26.0275,50.55,5,274.8342590332031,1
Bolivia,Bolivia,-16.2902,-63.5887,5,273.36492919921875,1
Philippines,Philippines,12.879721,121.774017,5,266.0270080566406,1
Nigeria,Nigeria,9.082,8.6753,5,258.2257995605469,1
Portugal,Portugal,39.3999,-8.2245,5,241.77621459960938,1
Armenia,Armenia,40.0691,45.0382,5,234.8266143798828,1
Kazakhstan,Kazakhstan,48.0196,66.9237,5,232.54273986816406,1
Romania,Romania,45.9432,24.9668,5,217.66773986816406,1
Netherlands,Netherlands,52.1326,5.2913,5,204.46693420410156,1
Panama,Panama,8.538,-80.7821,5,199.0943603515625,1
Ghana,Ghana,7.9465,-1.0232,5,195.34274291992188,1
Algeria,Algeria,28.0339,1.6596,5,180.23789978027344,1
Sudan,Sudan,12.8628,30.2176,5,151.63467407226562,1
Brazil,Brazil,-14.235,-51.9253,6,30010.90234375,1
US,US,40.0,-100.0,6,27598.490234375,1
India,India,20.593684,78.96288,6,13068.3671875,3
Russia,Russia,61.52401,105.318756,6,8101.58154296875,2
Chile,Chile,-35.6751,-71.543,6,5334.23828125,2
Pakistan,Pakistan,30.3753,69.3451,6,4998.2646484375,2
Mexico,Mexico,23.6345,-102.5528,6,4632.33203125,2
Peru,Peru,-9.19,-75.0152,6,4013.900390625,2
South Africa,South Africa,-30.5595,22.9375,6,3919.479736328125,2
Saudi Arabia,Saudi Arabia,23.885942,45.079162,6,3735.541748046875,2
Bangladesh,Bangladesh,23.685,90.3563,6,3333.1240234375,2
Iran,Iran,32.427908,53.688046,6,2463.091064453125,0
Colombia,Colombia,4.5709,-74.2973,6,2297.87060546875,0
Argentina,Argentina,-38.4161,-63.6167,6,1611.1434326171875,0
Egypt,Egypt,26.820553,30.802498,6,1480.7900390625,0
Iraq,Iraq,33.223191,43.679291,6,1463.3851318359375,0
Qatar,Qatar,25.3548,51.1839,6,1291.88671875,0
Turkey,Turkey,38.9637,35.2433,6,1247.05224609375,0
Indonesia,Indonesia,-0.7893,113.9213,6,1034.8358154296875,0
Sweden,Sweden,60.128161,18.643501,6,1018.4832153320312,0
Oman,Oman,21.512583,55.923255,6,978.3869018554688,0
United Kingdom,United Kingdom,55.3781,-3.436,6,910.8211059570312,0
Bolivia,Bolivia,-16.2902,-63.5887,6,796.8565063476562,0
