Continent,Week,Mean,Standard_Deviation,Min,Max
Asia,24,2082.517598343685,7319.383393326727,0,68931
Europe,24,2468.361904761905,10973.379757738203,0,164092
Oceania,24,979.6580086580086,2100.974593707162,-2,9087
Africa,25,426.7142857142857,1032.6876409332417,-1,4664
America,25,5152.219780219781,18169.25185291698,-19796,185360
Asia,25,2100.175983436853,6263.980819042371,0,56366
Europe,25,3272.98231292517,13436.190070428396,-148,123097
Oceania,25,1030.6450216450216,2289.1310757879623,-3,9455
Africa,26,599.047619047619,1484.8639498734215,0,6776
America,26,5514.276556776556,19497.116320170917,0,189893
Asia,26,2406.8674948240164,6176.685984412745,-1,44417
Europe,26,4247.8190476190475,17762.919364815694,-410,164828
Oceania,26,1214.4978354978355,2807.2072488576214,-2,20509
Africa,27,872.0,2410.2111541714157,0,13947
America,27,5600.880952380952,17908.53388593269,-2,200404
Asia,27,3119.608695652174,8367.76746687898,0,57113
Europe,27,5143.843537414966,22003.50100824641,0,243248
Oceania,27,1464.017316017316,3472.6692715062964,-45,28538
Africa,28,965.3904761904762,2766.403397829718,0,20903
America,28,6383.173992673993,20969.542358385646,0,204317
Asia,28,4562.48033126294,14437.48965019573,0,117095
Europe,28,4987.216326530613,21144.438878159257,0,251337
Oceania,28,1593.6450216450216,3363.5820779611777,0,14115
Africa,29,831.2761904761904,2962.500196349354,0,27340
America,29,6553.117216117216,20522.576177347775,-90,216403
Asia,29,6168.219461697722,23407.94695040692,0,226532
Europe,29,5488.487074829932,25199.32230944075,-770,367629
Oceania,29,1699.138528138528,3741.892765390671,-1,18657
Africa,30,760.2285714285714,1931.0668596616522,0,14323
America,30,6763.948717948718,22868.59972793768,0,239777
Asia,30,7767.75983436853,31184.400899435655,-2,365424
Europe,30,4061.121088435374,14644.398753649457,-1635,145472
Oceania,30,1559.4285714285713,4043.5791423867713,-16,34614
Africa,31,564.1142857142858,1561.6007831849843,0,8530
America,31,6730.507326007326,22725.005202428554,-10552,251959
Asia,31,9628.952380952382,39249.22346008541,0,406322
Europe,31,3525.6925170068025,11234.644532993,-3528,125193
Oceania,31,1159.3419913419914,2770.4170365572136,-337,16637
Africa,32,478.5904761904762,1471.7201258237174,0,8825
America,32,6586.007326007326,23240.4328819279,0,226712
Asia,32,7735.902691511387,28366.230199429476,-2,250288
Europe,32,3164.7945578231293,9130.676642407132,0,103059
Oceania,32,835.9567099567099,2026.6391943818667,-28,11324
Africa,33,466.76190476190476,1169.0001605893283,0,5622
America,33,6278.142857142857,22724.758445556956,0,239003
Asia,33,8791.002070393375,33216.179305663245,0,260999
Europe,33,3022.7414965986395,8329.758875556396,-42,77062
Oceania,33,636.2554112554112,1490.494747056561,0,8126
Africa,34,401.3333333333333,1036.9689805711,0,5711
America,34,6074.520146520146,23484.613239438608,0,238345
Asia,34,7296.225672877847,26779.050332883788,0,243490
Europe,34,3003.7850340136056,7984.482037600654,0,60411
Oceania,34,483.04329004329,1197.3655312848828,-3079,6668
Africa,35,338.32380952380953,918.5656093903027,0,7014
America,35,5717.582417582417,23343.868170408583,0,235115
Asia,35,6298.478260869565,19929.991420099297,-1,169508
Europe,35,2897.095238095238,7778.81259048531,-1707,54504
Oceania,35,403.004329004329,902.5594548540255,0,5418
Africa,36,231.71428571428572,551.1282957276358,0,2869
America,36,5146.717948717948,21363.98477196646,0,241690
Asia,36,5237.457556935818,15404.076769885656,0,129782
Europe,36,2893.2544217687073,7676.3716353644395,0,52708
Oceania,36,311.68831168831167,740.3606687414664,-106,4050
Africa,37,389.85714285714283,1253.7912998686716,0,9607
America,37,4847.8388278388275,20524.774080434476,-7953,210630
Asia,37,4788.304347826087,14106.482388832215,0,165336
Europe,37,3156.629931972789,8185.5724524998695,-12934,58393
Oceania,37,253.9090909090909,1289.7629426454087,-74,17392
Africa,38,183.2952380952381,437.9914585532094,0,2639
America,38,4470.858974358975,17226.055337433816,-136,174569
Asia,38,3925.662525879917,9745.933116920356,0,77373
Europe,38,3428.586394557823,8905.727580080405,0,61475
Oceania,38,290.72294372294374,1364.8612993210484,-1,14155
Africa,39,163.14285714285714,348.8861514925703,0,1722
America,39,3948.441391941392,15300.369107655664,-34,154832
Asia,39,3455.8571428571427,8575.594728797449,-108,49979
Europe,39,3996.01768707483,10866.176275794302,0,96367
Oceania,39,322.79653679653677,1385.2667290441395,-226,12574
Africa,40,119.85714285714286,290.50848751573733,0,1308
America,40,3666.054945054945,13884.265268317666,0,140564
Asia,40,3152.4844720496894,8017.325803708376,-23,54874
Europe,40,4424.62993197279,13567.265319502814,0,174112
Oceania,40,323.64069264069263,1272.1227162186508,-17,11177
Africa,41,144.7904761904762,547.1448742060584,0,4360
America,41,3467.437728937729,12714.477453889836,-1908,111005
Asia,41,3147.5424430641824,8044.532930008522,0,53374
Europe,41,5025.810884353741,15103.224995789844,-1096,172536
Oceania,41,282.87012987012986,1381.7862385866251,-1158,14288
Africa,42,160.98095238095237,650.1084226282269,0,5752
America,42,3280.868131868132,11979.498570972686,-2,96631
Asia,42,2949.8364389233952,7558.839676383887,0,44854
Europe,42,5489.889795918368,14155.735131740457,0,150052
Oceania,42,214.4935064935065,907.1333532672166,-880,8821
Africa,43,186.32380952380953,420.6255528111146,0,2185
America,43,3564.6556776556777,13082.769852424211,0,109473
Asia,43,3096.509316770186,8201.010415774592,0,50294
Europe,43,5555.202721088435,11588.650465260705,-6885,115534
Oceania,43,366.0952380952381,1914.4041437671613,-1,20456
Africa,44,287.3333333333333,820.4015980306727,0,5654
America,44,3681.6996336996335,14187.48371743736,-111,109840
Asia,44,3346.4120082815734,9904.309954264656,0,74170
Europe,44,5780.170068027211,11085.2945784339,0,110988
Oceania,44,324.2987012987013,1720.6737360818258,-1,20770
Africa,45,297.35238095238094,642.4831931497145,0,3209
America,45,4138.043956043956,17438.099216283965,-407,144121
Asia,45,3552.3892339544514,11294.276398917887,0,87410
Europe,45,6374.839455782313,13538.540171558945,-47301,181181
Oceania,45,413.3030303030303,2112.9149253309815,-3,21570
Africa,46,229.52380952380952,482.64370309700945,0,1996
America,46,5011.142857142857,21227.952322258225,-1301,178761
Asia,46,3747.407867494824,12509.346423173309,0,107702
Europe,46,6643.472108843537,13423.017136644483,0,208346
Oceania,46,481.7792207792208,2647.4626915630965,-151,27864
Africa,47,210.0952380952381,545.1691608293833,0,3470
America,47,5103.153846153846,22669.294891608562,-267,201085
Asia,47,4141.434782608696,14551.742802946424,-1149,133361
Europe,47,6953.522448979592,14787.245874294476,0,229122
Oceania,47,554.3809523809524,2993.7433848351643,-2,31506
Africa,48,258.46666666666664,592.3188308975982,0,4589
America,48,6352.934065934066,25824.460441395924,0,215202
Asia,48,4376.285714285715,15200.644153511505,0,138396
Europe,48,6923.736054421769,15375.724882351338,-5,227420
Oceania,48,654.9653679653679,3656.788766903543,-2678,37781
Africa,49,532.8952380952381,1609.2241795577334,-1960,9185
America,49,6814.659340659341,28957.303189624698,-270,235134
Asia,49,4809.48033126294,17125.97974751727,-18,149383
Europe,49,6765.012244897959,15541.286100772437,-83,221324
Oceania,49,700.2770562770563,3988.409527328993,-624,40179
Africa,50,520.7333333333333,1280.5655621538317,0,7510
America,50,7603.602564102564,31321.502090146303,0,236902
Asia,50,6936.453416149068,42476.58767556013,0,823225
Europe,50,6914.846258503401,15456.853409355122,-8639,174630
Oceania,50,784.8398268398269,4187.713366438826,-15,42699
Africa,51,430.56190476190477,964.1636663232417,-41,4837
America,51,8680.860805860806,36685.00259232564,-65286,274389
Asia,51,5530.509316770186,22143.32273851157,-11,206943
Europe,51,7351.066666666667,17414.15801473142,0,137572
Oceania,51,695.7186147186147,3032.302309918807,-4,38331
Africa,52,434.4190476190476,1065.957215018072,0,7027
America,52,11585.81501831502,55360.148837869296,0,597949
Asia,52,5863.091097308488,21658.02774245449,0,216219
Europe,52,9669.52380952381,28550.006642567438,0,232200
Oceania,52,1165.2207792207791,4154.798227581476,-3,31970
Africa,53,429.9428571428571,689.4240112056518,0,2414
America,53,11402.994505494506,44333.486598545285,0,313926
Asia,53,1696.8509316770187,3220.7788425534204,0,15805
Europe,53,6161.338775510204,10681.320778311407,0,57724
Oceania,53,2.675324675324675,5.030019248790099,0,25
